ecnumber;whentouse;parameters;value;;;;;;
4.1.1.39;irreversible rate equation parameters;km;0,0149;;;;;;
4.1.1.39;irreversible rate equation parameters;vmax;2,533;;;;;;
4.1.1.39;competitive inhibition by oxygen;ki;0,055;;;;;;
4.1.1.39;uncompetitive inhibition by D-fructose-1,6-bisphosphate;ki;0,465;;;;;;
4.1.1.39;activation by phosphate;ka;9,02;;;;;;
3.1.3.9;irreversible rate equation parameters;km;4,3;;;;;;
3.1.3.9;irreversible rate equation parameters;vmax;87,5;;;;;;
3.1.3.9;non-competitive by chlorogenic acid ;ki;0,5;;;;;;
3.1.3.9;2-nitro-5-thiocyano-benzoic acid ;ka;2;;;;;;
1.1.1.79;mixed inhibition by 4-hydroxybutyrate;ki;93,5;;;;;;
1.2.1.79;partial inhibition by Succinic semialdehyde;ki;0,0628;;;;;;
1.14.18.1;enzyme parameters between species: potato;km;0,59941;;;;;;
1.14.18.1;enzyme parameters between species: potato;vmax;0,3798;;;;;;
1.14.18.1;enzyme parameters between species: aspergillus bisporicus;km;6,6305;;;;;;
1.14.18.1;enzyme parameters between species: aspergillus bisporicus;vmax;0,0099;;;;;;
1.14.18.1;enzyme parameters between species: pleurotus ostreatus;km;10,74;;;;;;
1.14.18.1;enzyme parameters between species: pleurotus ostreatus;vmax;0,118;;;;;;
